report_date,new_positive,issue_date
2021-01-01,53341,2022-03-18
2020-12-31,61016,2022-03-18
2020-12-30,13410,2022-03-18
2020-12-29,30921,2022-03-18
2020-12-28,31245,2022-03-18
2020-12-27,33170,2022-03-18
2020-12-26,50141,2022-03-18
2020-12-25,30375,2022-03-18
2020-12-24,44175,2022-03-18
2020-12-23,34039,2022-03-18
2020-12-22,39069,2022-03-18
2020-12-21,32659,2022-03-18
2020-12-20,37892,2022-03-18
2020-12-19,46474,2022-03-18
2020-12-18,43608,2022-03-18
2020-12-17,41012,2022-03-18
2020-12-16,52281,2022-03-18
2020-12-15,53711,2022-03-18
2020-12-14,32326,2022-03-18
2020-12-13,33278,2022-03-18
2020-12-12,30334,2022-03-18
2020-12-11,35729,2022-03-18
2020-12-10,35468,2022-03-18
2020-12-09,29677,2022-03-18
2020-12-08,30851,2022-03-18
2020-12-07,23272,2022-03-18
2020-12-06,24735,2022-03-18
2020-12-05,30075,2022-03-18
2020-12-04,25068,2022-03-18
2020-12-03,22018,2022-03-18
2020-12-02,18588,2022-03-18
2020-12-01,20762,2022-03-18
2020-11-30,12221,2022-03-18
2020-11-29,14034,2022-03-18
2020-11-28,15614,2022-03-18
2020-11-27,11996,2022-03-18
2020-11-26,12635,2022-03-18
2020-11-25,14640,2022-03-18
2020-11-24,18350,2022-03-18
2020-11-23,15329,2022-03-18
2020-11-22,8337,2022-03-18
2020-11-21,14319,2022-03-18
2020-11-20,15442,2022-03-18
2020-11-19,13005,2022-03-18
2020-11-18,11478,2022-03-18
2020-11-17,9811,2022-03-18
2020-11-16,8743,2022-03-18
2020-11-15,9890,2022-03-18
2020-11-14,10968,2022-03-18
2020-11-13,9875,2022-03-18
2020-11-12,6893,2022-03-18
2020-11-11,6927,2022-03-18
2020-11-10,7464,2022-03-18
2020-11-09,5367,2022-03-18
2020-11-08,5351,2022-03-18
2020-11-07,9543,2022-03-18
2020-11-06,5863,2022-03-18
2020-11-05,6518,2022-03-18
2020-11-04,4566,2022-03-18
2020-11-03,5338,2022-03-18
2020-11-02,4044,2022-03-18
2020-11-01,4094,2022-03-18
2020-10-31,4529,2022-03-18
2020-10-30,5087,2022-03-18
2020-10-29,4014,2022-03-18
2020-10-28,4191,2022-03-18
2020-10-27,4515,2022-03-18
2020-10-26,3188,2022-03-18
2020-10-25,2981,2022-03-18
2020-10-24,5219,2022-03-18
2020-10-23,5945,2022-03-18
2020-10-22,6141,2022-03-18
2020-10-21,2940,2022-03-18
2020-10-20,3707,2022-03-18
2020-10-19,3286,2022-03-18
2020-10-18,3474,2022-03-18
